Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
4/8/2015,688,848,24.29,,,,
11/5/2017,173,199,21.11,91,108,21.3,264
3/3/2017,286,321,7.48,87,105,42.86,373
6/9/2014,288,381,43.57,,,,
12/31/2014,66,73,49.32,,,,
1/15/2018,312,358,23.18,180,215,28.37,492
3/18/2017,105,119,17.65,45,46,32.61,150
8/23/2017,341,391,13.04,214,260,43.08,555
12/19/2016,308,348,3.16,108,132,43.94,416
4/16/2016,133,150,2.67,40,52,40.38,173
5/26/2016,366,411,2.92,117,136,42.65,483
1/8/2015,171,200,51.5,,,,
3/25/2017,144,162,12.96,58,67,41.79,202
3/27/2017,317,363,15.15,176,207,38.65,493
12/26/2017,245,275,18.18,98,113,37.17,343
10/22/2017,214,256,15.62,106,121,34.71,320
11/15/2017,487,557,14.18,259,324,29.63,746
1/31/2015,65,72,62.5,,,,
9/27/2017,417,479,14.4,275,323,40.56,692
2/22/2018,559,634,22.24,307,342,25.15,866
7/30/2015,399,454,6.17,,,,
2/20/2016,115,127,2.36,92,113,47.79,207
3/20/2017,385,438,10.27,154,181,43.09,539
4/4/2016,392,444,2.93,172,206,40.29,564
11/17/2016,404,466,0,154,189,45.5,558
10/3/2016,342,371,0,146,178,47.19,488
7/19/2017,372,451,13.3,302,362,46.13,674
10/19/2017,444,521,17.47,222,257,30.74,666
11/5/2014,172,221,44.34,,,,
4/22/2017,167,195,21.54,65,72,31.94,232
11/8/2015,173,199,6.53,,,,
11/18/2014,210,257,46.3,,,,
9/26/2015,114,124,5.65,,,,
8/1/2016,329,383,0,124,175,41.71,453
10/27/2017,368,423,19.15,181,199,35.18,549
9/3/2017,125,138,17.39,89,107,29.91,214
8/19/2017,102,109,12.84,69,77,31.17,171
9/18/2015,301,376,6.38,,,,
2/17/2016,359,416,3.12,384,444,41.22,743
12/21/2015,290,342,4.39,,,,
11/6/2017,460,528,18.94,234,268,31.72,694
8/29/2017,377,420,15.95,214,243,32.92,591
10/26/2017,417,464,17.03,186,216,38.43,603
9/13/2016,350,411,0,156,187,43.32,506
3/7/2017,415,506,11.07,148,161,42.86,563
